respondent_id,age_group,gender,city_tier,occupation,monthly_income_band,monthly_income_inr,wardrobe_size_band,wardrobe_size_count,wardrobe_utilisation_pct,shopping_channels,purchase_frequency,monthly_clothing_spend_inr,annual_festive_spend_inr,festive_spend_band,style_types,ethnic_categories,saree_types,colour_palette,accessories,pain_occasions,daily_decision_minutes,purchase_drivers,weather_importance_score,prior_app_usage,privacy_comfort,preferred_features,subscription_willingness,social_media_influence_score,ai_trust_score,discovery_channels,fashion_identity,wardrobe_emotion,repeat_outfit_anxiety,sustainability_stance,return_regret_rate,trust_nano_influencer,trust_celebrity,trust_friend_family,trust_ai_recommendation,trust_brand_stylist,wardrobe_gap_score,impulse_buyer_flag,spend_power_index,engagement_likelihood_score,persona_archetype,outlier_flag,q25_platform_interest,target_interested
R0001,35-44,Woman,Tier 2,Salaried private,40001-75000,57500,71-100,85,50,In-store mall/high street|Instagram/social commerce,Once every 2-3 months,2678,10000,5001-15000,Traditional ethnic|Boho/eclectic,Salwar kameez/churidar,I dont own sarees,Jewel tones|Pastels,Heels/formal footwear|Kolhapuris/juttis|Jhumkas/traditional jewellery,Formal meetings/interviews|Weddings/festive,13,Price/discount|Brand name,3,No not aware,Neutral/unsure,Style DNA report|Wardrobe gap analysis|Occasion outfit planner,1-99,2,2,Bollywood/OTT celebrities|Friends and family,Dress for the occasion,Overwhelmed - too many choices,Not concerned - repeat freely,Neutral - consider sometimes,Sometimes 1 in 3,1,3,4,2,2,4.2,0,19.7,43,Ethnic Traditionalist,None,Unlikely - not for me,Not Interested
R0002,25-34,Man,Tier 1,Salaried private,75001-150000,112500,20-40,30,70,Amazon/Flipkart|In-store mall/high street,Rarely,5687,10000,5001-15000,Minimalist/monochrome|Traditional ethnic,Saree|None|Sherwani/bandgala,Cotton Tant/Chanderi|Designer/embroidered|Georgette/chiffon,Jewel tones,Sneakers/casual shoes|Watch/smartwatch|Jhumkas/traditional jewellery|Dupatta/stole,Formal meetings/interviews,13,Occasion need|Comfort and fabric quality|Colour/pattern appeal,4,No but aware,Comfortable with privacy controls,Wardrobe gap analysis|Weather-based dressing|Smart shopping,100-249,2,3,Friends and family,Dress for the occasion,Frustrated - lots but stuck,Not concerned - repeat freely,Important - but dont always follow through,Occasionally 1 in 5,2,3,5,3,3,0.9,0,37.7,51,Functional Minimalist,None,Definitely not interested,Not Interested
R0003,45-54,Woman,Metro,Salaried private,75001-150000,112500,More than 100,120,25,Myntra/Ajio/Nykaa Fashion,Once a month,2991,10000,5001-15000,Western formal,Salwar kameez/churidar|Kurta/kurti|Lehenga,I dont own sarees,Monochrome|Neutrals,Heels/formal footwear|Sneakers/casual shoes,Daily office/college,32,Occasion need|Brand name,2,No but aware,Completely comfortable,Smart shopping|Daily outfit suggestions|Occasion outfit planner,250-499,2,4,Bollywood/OTT celebrities|Pinterest/mood boards,Clothing is self-expression,Overwhelmed - too many choices,Very concerned - avoid it,Important - but dont always follow through,Occasionally 1 in 5,4,3,4,4,3,9.0,0,31.4,67,Urban Trendsetter,None,Definitely will use - I need this,Interested
R0004,18-24,Man,Tier 1,Self-employed/business,20001-40000,30000,20-40,30,60,In-store mall/high street,Once every 2-3 months,2397,101712,40001-100000,Streetwear/athleisure|Traditional ethnic|Minimalist/monochrome,Salwar kameez/churidar,I dont own sarees,Printed/mixed patterns,Jhumkas/traditional jewellery|Sneakers/casual shoes|Kolhapuris/juttis|Heels/formal footwear,Travel/vacation|Formal meetings/interviews|Weddings/festive,31,Occasion need|Sustainability/ethical brand,4,Yes tried once or twice,Completely comfortable,Occasion outfit planner|Wardrobe gap analysis,0 free only,4,2,Bollywood/OTT celebrities|Friends and family,Dress for the occasion,Frustrated - lots but stuck,Very concerned - avoid it,Neutral - consider sometimes,Sometimes 1 in 3,5,2,3,2,2,1.2,0,31.2,56,Ethnic Traditionalist,Contradicting Spender,Definitely will use - I need this,Interested
R0005,25-34,Woman,Tier 1,Salaried private,75001-150000,112500,20-40,30,70,Amazon/Flipkart|Brand website|In-store mall/high street,Once every 2-3 months,9192,1000,Below 2000,Casual/everyday basics|Minimalist/monochrome,Lehenga|None|Kurta/kurti,I dont own sarees,Jewel tones|Neutrals,Watch/smartwatch|Dupatta/stole|Sneakers/casual shoes,Travel/vacation|Formal meetings/interviews|Date night/parties,0,Sustainability/ethical brand|Trend/social media,4,Yes tried once or twice,Uncomfortable,Weather-based dressing|Wardrobe gap analysis,,3,4,Instagram Reels/posts,Dress for the occasion,Indifferent - just clothes,Not concerned - repeat freely,Not a priority - price first,Occasionally 1 in 5,3,3,4,4,5,0.9,0,44.1,53,Functional Minimalist,None,Definitely will use - I need this,Interested
R0006,55+,Man,Tier 3,Self-employed/business,20001-40000,30000,Fewer than 20,12,75,Myntra/Ajio/Nykaa Fashion|Local market|Instagram/social commerce,Once every 2-3 months,2044,27500,15001-40000,Casual/everyday basics|Streetwear/athleisure|Maximalist/statement,Kurta/kurti,I dont own sarees,Pastels|Bright/vibrant,Western jewellery/minimalist|Dupatta/stole|Jhumkas/traditional jewellery|Cap/hair accessories,Weddings/festive,21,Price/discount|Occasion need|Brand name,4,No but aware,Will not share,Weather-based dressing|Smart shopping,1-99,2,3,Friends and family|Instagram Reels/posts,Dress for the occasion,Indifferent - just clothes,Neutral - depends,Not a priority - price first,Occasionally 1 in 5,3,3,4,3,4,0.3,0,16.1,25,Budget Conscious,None,Unlikely - not for me,Not Interested
R0007,25-34,Man,Tier 2,Homemaker,20001-40000,30000,41-70,55,60,In-store mall/high street|Myntra/Ajio/Nykaa Fashion|Amazon/Flipkart,Seasonally,1977,3500,2000-5000,Traditional ethnic|Western formal|Casual/everyday basics,Salwar kameez/churidar|Dhoti/lungi,I dont own sarees,Printed/mixed patterns,Sneakers/casual shoes|Handbag/tote,Weddings/festive|Daily office/college|Formal meetings/interviews,27,Comfort and fabric quality|Price/discount|Occasion need,2,No not aware,Will not share,Daily outfit suggestions|Smart shopping|Travel packing assistant,0 free only,2,3,Bollywood/OTT celebrities|Instagram Reels/posts,Dress to signal status,Overwhelmed - too many choices,Not concerned - repeat freely,Not a priority - price first,Occasionally 1 in 5,2,4,2,3,4,2.2,0,11.3,50,Budget Conscious,None,Unlikely - not for me,Not Interested
R0008,25-34,Woman,Metro,Salaried private,75001-150000,112500,20-40,30,60,Amazon/Flipkart|In-store mall/high street,Rarely,6423,3500,2000-5000,Minimalist/monochrome|Casual/everyday basics|Western formal,Kurta/kurti|None|Salwar kameez/churidar,,Monochrome|Pastels|Jewel tones,Kolhapuris/juttis|Jhumkas/traditional jewellery|Heels/formal footwear|Watch/smartwatch,Casual outings/weekend|Formal meetings/interviews|Date night/parties,7,Trend/social media|Comfort and fabric quality|Brand name,3,Yes tried once or twice,Will not share,Wardrobe gap analysis|Weather-based dressing|Smart shopping,100-249,2,3,Friends and family,Dress to signal status,Confident - wardrobe works,Advocate outfit repeating,,Sometimes 1 in 3,2,2,3,3,5,1.2,0,38.2,39,Functional Minimalist,None,Definitely will use - I need this,Interested
R0009,25-34,Woman,Tier 1,Salaried private,75001-150000,112500,71-100,85,45,Instagram/social commerce|Myntra/Ajio/Nykaa Fashion|Local market,More than once a month,9078,27500,15001-40000,Indo-western fusion,Lehenga,I dont own sarees,Neutrals|Bright/vibrant,Sneakers/casual shoes|Kolhapuris/juttis|Heels/formal footwear,Formal meetings/interviews,31,Brand name|Trend/social media,4,Yes tried once or twice,Neutral/unsure,Smart shopping|Weather-based dressing|Daily outfit suggestions,500-999,5,5,Instagram Reels/posts,Clothing is self-expression,Frustrated - lots but stuck,Neutral - depends,Neutral - consider sometimes,Occasionally 1 in 5,3,3,5,5,3,4.7,0,49.0,88,Urban Trendsetter,None,Likely to try it out,Interested
R0010,35-44,Woman,Tier 1,Salaried private,Above 150000,200000,41-70,55,65,In-store mall/high street|Subscription box|Amazon/Flipkart,Once every 2-3 months,13705,70000,40001-100000,Western formal|Indo-western fusion|Minimalist/monochrome,Saree,Handloom/weave,Neutrals|Pastels|Jewel tones,Watch/smartwatch|Dupatta/stole,Date night/parties|Daily office/college,28,Price/discount|Trend/social media|Brand name,4,No but aware,Comfortable with privacy controls,Occasion outfit planner|Smart shopping|Travel packing assistant,,3,4,Bollywood/OTT celebrities|Friends and family,I follow trends,Indifferent - just clothes,Somewhat concerned - mix it up,Important - but dont always follow through,Occasionally 1 in 5,3,3,4,4,4,1.9,0,85.4,50,Aspiring Premium,None,Likely to try it out,Interested
